"Label","Phase","ElapsedMs","ProcessCount","WorkingSetMB","PrivateMB","CpuSeconds","Handles","Threads"
"before","startup_hidden","59","5","185.7","62.67","0.7344","2056","101"
"before","startup_hidden","203","5","318.29","215.78","1.0625","2753","253"
"before","startup_hidden","329","5","333.59","215.85","1.1875","2754","253"
"before","startup_hidden","459","5","343.84","227.15","1.3281","2761","253"
"before","startup_hidden","594","5","355.5","242.09","1.4688","2762","253"
"before","startup_hidden","723","5","362.05","247.71","1.5938","2761","253"
"before","startup_hidden","851","5","366.83","251.76","1.7188","2762","253"
"before","startup_hidden","977","5","373.07","257.07","1.8438","2761","253"
"before","startup_hidden","1101","5","379.12","262.2","1.9688","2762","254"
"before","startup_hidden","1226","5","384.05","266.4","2.0938","2760","254"
"before","startup_hidden","1356","5","390.37","282.05","2.2188","2759","254"
"before","startup_hidden","1480","5","422.39","340.42","2.3125","2760","254"
"before","startup_hidden","1598","5","330.74","214.18","2.375","2759","254"
"before","startup_hidden","1726","5","330.75","214.19","2.375","2759","254"
"before","startup_hidden","1849","5","330.75","214.19","2.375","2759","254"
"before","startup_hidden","1976","5","330.77","214.21","2.375","2765","254"
"before","startup_hidden","2096","5","330.82","214.21","2.375","2757","254"
"before","startup_hidden","2213","5","340.52","218.49","2.4219","2896","256"
"before","startup_hidden","2340","5","340.78","218.5","2.4219","2896","256"
"before","startup_hidden","2462","5","340.82","218.5","2.4219","2896","256"
"before","visible_idle","10","7","452.39","291.79","2.7344","3421","283"
"before","visible_idle","135","7","451.8","291.01","2.7344","3421","283"
"before","visible_idle","252","7","451.58","290.77","2.7344","3421","283"
"before","visible_idle","382","7","451.58","290.77","2.7344","3421","283"
"before","visible_idle","507","7","451.59","290.77","2.7344","3421","283"
"before","visible_idle","630","7","451.59","290.77","2.7344","3421","283"
"before","visible_idle","757","7","451.59","290.77","2.7344","3421","283"
"before","visible_idle","882","7","451.59","290.77","2.7344","3421","283"
"before","visible_idle","1008","7","450.48","289.61","2.75","3421","283"
"before","visible_idle","1133","7","450.51","289.63","2.7656","3421","283"
"before","visible_idle","1253","7","450.51","289.63","2.7656","3421","283"
"before","visible_idle","1383","7","450.51","289.63","2.7656","3421","283"
"before","visible_idle","1506","7","450.51","289.63","2.7656","3421","283"
"before","after_explorer","14","7","471.83","301.91","3.2031","3466","288"
"before","after_explorer","137","7","471.83","301.9","3.2031","3466","288"
"before","after_explorer","266","7","471.83","301.9","3.2031","3466","288"
"before","after_explorer","390","7","471.33","301.25","3.2031","3466","288"
"before","after_explorer","517","7","471.34","301.25","3.2188","3466","288"
"before","after_explorer","643","7","471.43","301.33","3.2188","3466","288"
"before","after_explorer","766","7","471.36","296.86","3.2188","3466","288"
"before","after_explorer","894","7","471.36","296.86","3.2188","3466","288"
"before","after_explorer","1019","7","470.81","296.18","3.2188","3466","288"
"before","after_explorer","1148","7","470.81","296.18","3.2188","3466","288"
"before","after_wezterm","15","7","474.45","304.09","3.2656","3479","288"
"before","after_wezterm","137","7","474.45","304.09","3.2656","3479","288"
"before","after_wezterm","266","7","474.02","303.65","3.2656","3479","288"
"before","after_wezterm","389","7","473.93","303.56","3.2656","3479","288"
"before","after_wezterm","516","7","473.38","302.94","3.2656","3479","288"
"before","after_wezterm","641","7","473.37","302.93","3.2656","3479","288"
"before","after_wezterm","769","7","473.32","302.88","3.2656","3479","288"
"before","after_wezterm","899","7","473.32","302.88","3.2656","3479","288"
"before","after_wezterm","1020","7","473.32","302.88","3.2656","3479","288"
"before","after_wezterm","1141","7","473.32","302.88","3.2656","3479","288"
"before","final_hidden","17","7","473.32","302.88","3.2656","3479","288"
"before","final_hidden","133","7","473.29","302.89","3.2656","3473","288"
"before","final_hidden","261","7","473.26","302.78","3.2656","3467","288"
"before","final_hidden","383","7","473.26","302.78","3.2656","3467","288"
"before","final_hidden","510","7","473.26","302.78","3.2656","3467","288"
"before","final_hidden","634","7","473.19","302.71","3.2656","3467","288"
"before","final_hidden","760","7","472.5","301.84","3.2656","3467","288"
"before","final_hidden","880","7","472.5","301.84","3.2656","3467","288"
"before","final_hidden","1013","7","472.04","301.25","3.2656","3467","288"
"before","final_hidden","1138","7","472","301.21","3.2656","3467","288"
"before","final_hidden","1265","7","471.06","299.39","3.2656","3467","288"
"before","final_hidden","1391","7","471.04","299.35","3.2656","3467","287"
