"Label","Phase","ElapsedMs","ProcessCount","WorkingSetMB","PrivateMB","CpuSeconds","Handles","Threads"
"final","startup_hidden","36","5","185.66","63.21","0.4062","2050","105"
"final","startup_hidden","175","5","265.64","149.56","0.7656","2661","223"
"final","startup_hidden","291","5","271.28","154.71","0.7812","2769","256"
"final","startup_hidden","411","5","271.31","154.72","0.7812","2777","256"
"final","startup_hidden","530","5","271.32","154.73","0.7812","2777","256"
"final","startup_hidden","654","5","271.5","154.77","0.7812","2777","256"
"final","startup_hidden","778","5","271.5","154.77","0.7812","2777","256"
"final","startup_hidden","900","5","271.15","154.41","0.7812","2777","256"
"final","startup_hidden","1023","5","269.03","152.32","0.7812","2777","257"
"final","startup_hidden","1156","5","269.04","152.32","0.7812","2777","257"
"final","startup_hidden","1276","5","269.04","152.32","0.7812","2775","257"
"final","startup_hidden","1410","5","269.04","152.32","0.7812","2775","257"
"final","startup_hidden","1532","5","269.04","152.32","0.7812","2775","257"
"final","startup_hidden","1652","5","269.04","152.32","0.7812","2775","257"
"final","startup_hidden","1777","5","269.04","152.32","0.7812","2775","257"
"final","startup_hidden","1910","5","269.08","152.36","0.7812","2781","257"
"final","startup_hidden","2030","5","269.08","152.36","0.7812","2781","257"
"final","startup_hidden","2155","5","278.45","156.8","0.8125","2902","258"
"final","startup_hidden","2267","5","279.23","156.81","0.8125","2911","258"
"final","startup_hidden","2379","5","279.26","156.81","0.8125","2911","258"
"final","startup_hidden","2500","5","279.29","156.81","0.8125","2913","258"
"final","visible_idle","11","7","392.09","231.78","1.0625","3435","285"
"final","visible_idle","131","7","392.73","232.32","1.0625","3435","285"
"final","visible_idle","252","7","392.59","232.07","1.0781","3435","285"
"final","visible_idle","373","7","392.59","232.07","1.0781","3435","285"
"final","visible_idle","496","7","391.45","230.86","1.0781","3435","285"
"final","visible_idle","614","7","391.45","230.86","1.0781","3435","285"
"final","visible_idle","739","7","391.45","230.86","1.0781","3435","285"
"final","visible_idle","857","7","391.45","230.86","1.0781","3435","285"
"final","visible_idle","980","7","391.25","230.61","1.0781","3435","285"
"final","visible_idle","1089","7","391.32","230.75","1.0781","3435","285"
"final","visible_idle","1213","7","391.32","230.75","1.0781","3435","285"
"final","visible_idle","1323","7","391.32","230.75","1.0781","3435","285"
"final","visible_idle","1436","7","391.32","230.75","1.0781","3435","285"
"final","after_explorer","18","7","424.23","248.88","1.5625","3552","291"
"final","after_explorer","143","7","424.23","248.86","1.5625","3552","291"
"final","after_explorer","268","7","424.24","248.86","1.5625","3552","291"
"final","after_explorer","391","7","424.27","248.86","1.5625","3552","291"
"final","after_explorer","524","7","424.28","248.86","1.5625","3552","291"
"final","after_explorer","650","7","424.19","248.77","1.5625","3552","291"
"final","after_explorer","774","7","424.19","248.77","1.5625","3552","291"
"final","after_explorer","901","7","424.19","248.77","1.5625","3552","291"
"final","after_explorer","1021","7","424.18","248.76","1.5625","3552","291"
"final","after_explorer","1144","7","423.62","248.26","1.5625","3546","291"
"final","after_wezterm","11","7","428.68","250.66","1.7656","3581","292"
"final","after_wezterm","136","7","425.85","247.54","1.7656","3581","292"
"final","after_wezterm","257","7","425.8","247.5","1.7656","3581","292"
"final","after_wezterm","384","7","425.79","247.48","1.7656","3581","292"
"final","after_wezterm","520","7","425.59","247.29","1.7656","3581","292"
"final","after_wezterm","640","7","425.59","247.29","1.7656","3581","292"
"final","after_wezterm","772","7","425.59","247.29","1.7656","3581","292"
"final","after_wezterm","892","7","425.59","247.29","1.7656","3581","292"
"final","after_wezterm","1015","7","425.57","247.29","1.7656","3577","292"
"final","after_wezterm","1134","7","425.57","247.29","1.7656","3577","292"
"final","final_hidden","11","7","425.28","247.02","1.7656","3571","292"
"final","final_hidden","146","7","425.3","247.02","1.7656","3571","292"
"final","final_hidden","265","7","425.3","247.02","1.7656","3571","292"
"final","final_hidden","398","7","425.24","246.39","1.7656","3571","292"
"final","final_hidden","524","7","425.24","246.39","1.7656","3571","292"
"final","final_hidden","644","7","425.09","246.09","1.7656","3571","292"
"final","final_hidden","774","7","425.09","246.09","1.7656","3571","292"
"final","final_hidden","894","7","425","245.98","1.7656","3571","292"
"final","final_hidden","1027","7","425","245.98","1.7656","3571","292"
"final","final_hidden","1153","7","425","245.98","1.7656","3571","292"
"final","final_hidden","1283","7","425","245.98","1.7656","3571","292"
"final","final_hidden","1405","7","425","245.98","1.7656","3571","292"
